author_id,tweet_id,relationship_type
1607450803,1846520655954543029,RETWEETED
1102994571661856768,1847562567541039588,POSTED
1607450803,1846520393076498571,RETWEETED
1580106779555414016,1847495561873609086,RETWEETED
142698600,1846439191376244736,RETWEETED
142698600,1846437824175735118,RETWEETED
2291770636,1846880527174729848,RETWEETED
558580443,1847552421116915899,POSTED
1791178738270363648,1846880527174729848,RETWEETED
1638767629749059585,1847495561873609086,RETWEETED
1612020535885455361,1847495561873609086,RETWEETED
1677981054479613952,1847495561873609086,RETWEETED
314819930,1847519265689423927,POSTED
1736652168814338048,1847495561873609086,RETWEETED
1318036468053540864,1847514558144884915,POSTED
1820417373788073984,1847512291018719279,POSTED
1778280588505448448,1847512250778570914,POSTED
1796820725388525568,1847509032220643592,POSTED
1774885518225842176,1847508454383964399,POSTED
1830875967973163008,1847508240994607309,POSTED
1149743019924557824,1847508046521532445,POSTED
